data,num_file,L0,L2,NNZ,RL_iters,RL_rewards,MF_iters,MF_rewards
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_851.csv,27,0.0045740774030976,0.0,2,92,19,139,14
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_851.csv,27,0.045740774030976,0.0,1,12,6,87,7
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_611.csv,28,4.550903069269529e-05,0.0,8,133,22,503,13
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_611.csv,28,0.0004550903069269529,0.0,1,248,21,157,29
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_611.csv,28,0.004550903069269529,0.0,1,158,19,135,21
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_611.csv,28,0.04550903069269529,0.0,1,32,9,76,12
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_943.csv,29,4.571894345997201e-05,0.0,3,150,20,368,21
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_943.csv,29,0.00045718943459972013,0.0,1,172,21,126,18
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_943.csv,29,0.004571894345997201,0.0,1,122,21,122,19
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_943.csv,29,0.04571894345997202,0.0,1,21,6,49,5
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_988.csv,30,4.594127303010635e-05,0.0,4,152,24,423,18
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_988.csv,30,0.00045941273030106346,0.0,1,148,22,235,32
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_988.csv,30,0.004594127303010635,0.0,1,129,20,196,16
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_988.csv,30,0.045941273030106346,0.0,1,11,8,6,6
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_176.csv,31,4.559392764822714e-05,0.0,5,147,18,225,19
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_176.csv,31,0.0004559392764822714,0.0,1,160,18,177,26
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_176.csv,31,0.004559392764822714,0.0,1,149,18,124,13
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_176.csv,31,0.045593927648227145,0.0,1,55,9,50,10
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_599.csv,32,4.573069177070849e-05,0.0,4,289,19,441,15
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_599.csv,32,0.0004573069177070849,0.0,1,216,23,229,22
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_599.csv,32,0.004573069177070849,0.0,1,187,22,218,21
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_599.csv,32,0.04573069177070849,0.0,1,23,9,129,10
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_54.csv,33,4.553803480340944e-05,0.0,6,205,31,422,26
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_54.csv,33,0.0004553803480340944,0.0,1,242,20,206,22
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_54.csv,33,0.004553803480340944,0.0,1,141,20,164,14
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_54.csv,33,0.04553803480340944,0.0,3,12,5,126,4
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_14.csv,34,4.566684489920501e-05,0.0,8,143,20,574,12
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_14.csv,34,0.00045666844899205005,0.0,3,311,20,156,33
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_14.csv,34,0.0045666844899205005,0.0,1,231,17,129,27
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_14.csv,34,0.04566684489920501,0.0,1,50,15,47,12
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_622.csv,35,4.566002143272144e-05,0.0,6,210,18,132,17
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_622.csv,35,0.00045660021432721444,0.0,1,212,19,100,16
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_622.csv,35,0.004566002143272145,0.0,1,100,19,54,17
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_622.csv,35,0.045660021432721444,0.0,1,15,7,22,5
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_215.csv,36,4.5811636206991466e-05,0.0,4,70,19,270,17
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_215.csv,36,0.00045811636206991463,0.0,1,139,22,128,18
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_215.csv,36,0.004581163620699147,0.0,1,109,23,127,25
