data,num_file,L0,L2,NNZ,RL_iters,RL_rewards,MF_iters,MF_rewards,SAMP_iters,SAMP_rewards,SB_iters,SB_rewards
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_277.csv,20,0.0004583902901369795,0.0,2,133,15,124,20,40,12,20,14
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_277.csv,20,0.004583902901369796,0.0,1,96,17,102,22,54,15,19,12
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_277.csv,20,0.045839029013697956,0.0,1,6,5,26,7,22,6,6,4
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_775.csv,21,4.5844201687594e-05,0.0,8,119,15,383,11,173,11,62,21
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_775.csv,21,0.00045844201687594,0.0,1,248,25,107,26,96,19,104,16
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_775.csv,21,0.004584420168759399,0.0,1,117,14,82,19,82,15,25,10
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_775.csv,21,0.045844201687594,0.0,1,20,7,81,6,59,9,17,6
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_33.csv,22,4.5530091158368356e-05,0.0,6,64,17,282,8,214,11,31,19
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_33.csv,22,0.00045530091158368355,0.0,1,147,21,117,26,86,14,55,20
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_33.csv,22,0.004553009115836835,0.0,1,66,16,85,17,78,16,40,12
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_33.csv,22,0.045530091158368355,0.0,1,14,8,27,8,43,5,8,5
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_422.csv,23,4.541750667494536e-05,0.0,5,130,19,398,21,242,19,44,14
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_422.csv,23,0.00045417506674945364,0.0,3,134,24,150,19,109,26,55,20
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_422.csv,23,0.004541750667494536,0.0,1,85,17,106,11,68,18,37,12
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_422.csv,23,0.04541750667494537,0.0,1,15,11,13,8,14,10,8,8
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_181.csv,24,4.552980717715858e-05,0.0,6,183,17,467,13,147,14,73,27
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_181.csv,24,0.0004552980717715858,0.0,3,172,21,179,28,138,21,109,25
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_181.csv,24,0.004552980717715858,0.0,1,94,17,113,21,59,14,89,18
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_181.csv,24,0.04552980717715858,0.0,1,27,12,50,10,43,9,16,6
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_296.csv,25,4.537444037354942e-05,0.0,6,211,16,268,15,80,18,51,23
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_296.csv,25,0.0004537444037354942,0.0,1,122,19,146,25,133,22,69,26
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_296.csv,25,0.004537444037354942,0.0,1,98,19,85,22,78,19,51,13
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_296.csv,25,0.04537444037354942,0.0,1,4,3,47,5,18,6,23,4
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_222.csv,26,4.5744185072488375e-05,0.0,8,304,36,331,15,199,12,69,27
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_222.csv,26,0.00045744185072488377,0.0,1,226,20,146,26,108,21,103,26
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_222.csv,26,0.004574418507248838,0.0,1,151,15,121,18,86,18,42,12
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_222.csv,26,0.045744185072488376,0.0,2,19,5,130,9,141,8,31,7
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_882.csv,27,4.5647180048748085e-05,0.0,7,173,23,166,13,83,18,95,30
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_882.csv,27,0.00045647180048748084,0.0,1,185,19,121,27,117,27,52,25
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_882.csv,27,0.004564718004874809,0.0,1,125,20,91,19,100,19,34,11
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_882.csv,27,0.045647180048748084,0.0,1,7,4,20,5,20,6,9,4
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_224.csv,28,4.595156980833127e-05,0.0,8,189,22,389,20,241,18,69,29
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_224.csv,28,0.0004595156980833127,0.0,2,135,15,153,24,84,16,52,17
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_224.csv,28,0.004595156980833127,0.0,1,96,15,135,20,72,17,23,13
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_224.csv,28,0.04595156980833127,0.0,1,9,6,70,5,7,4,5,4
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_60.csv,29,4.571539124424971e-05,0.0,6,83,17,393,13,71,12,116,28
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_60.csv,29,0.0004571539124424971,0.0,1,197,27,153,19,128,16,44,18
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_60.csv,29,0.004571539124424971,0.0,1,118,19,121,18,89,15,97,12
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_60.csv,29,0.04571539124424971,0.0,1,4,3,3,3,5,4,3,3
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_822.csv,30,4.562825782765595e-05,0.0,4,102,14,248,16,118,17,30,14
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_822.csv,30,0.0004562825782765595,0.0,1,139,24,115,24,118,20,44,18
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_822.csv,30,0.004562825782765595,0.0,2,75,17,54,17,55,15,36,14
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_822.csv,30,0.04562825782765595,0.0,2,11,6,21,7,26,5,6,5
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_794.csv,31,4.539296361289056e-05,0.0,5,165,18,313,17,183,19,86,31
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_794.csv,31,0.00045392963612890557,0.0,1,198,24,233,21,112,24,57,17
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_794.csv,31,0.004539296361289056,0.0,1,133,22,214,21,199,15,24,12
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_794.csv,31,0.04539296361289056,0.0,1,7,4,136,5,98,4,37,4
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_107.csv,32,4.5700765063322075e-05,0.0,4,147,20,386,22,92,20,81,30
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_107.csv,32,0.00045700765063322075,0.0,3,139,19,153,20,114,15,33,17
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_107.csv,32,0.004570076506332207,0.0,2,79,17,66,12,80,13,16,10
