data,num_file,L0,L2,NNZ,RL_iters,RL_rewards,MF_iters,MF_rewards,SAMP_iters,SAMP_rewards,SB_iters,SB_rewards
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_876.csv,18,4.608997460623123e-05,0.0,4,96,22,182,21,191,24,56,25
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_876.csv,18,0.00046089974606231226,0.0,1,133,26,358,20,153,14,67,14
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_876.csv,18,0.004608997460623123,0.0,1,104,22,168,18,71,21,30,14
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_876.csv,18,0.04608997460623123,0.0,2,2,2,147,2,95,2,12,2
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_388.csv,19,4.568528906141781e-05,0.0,7,147,12,338,14,219,17,109,22
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_388.csv,19,0.00045685289061417805,0.0,2,136,25,163,24,141,28,73,24
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_388.csv,19,0.004568528906141781,0.0,1,86,19,77,16,86,19,91,12
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_388.csv,19,0.045685289061417805,0.0,1,19,13,33,12,24,11,10,8
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_778.csv,20,4.544057316463414e-05,0.0,5,102,18,302,13,78,13,35,17
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_778.csv,20,0.0004544057316463414,0.0,2,127,19,116,23,109,26,30,21
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_778.csv,20,0.004544057316463414,0.0,1,114,14,140,15,109,19,39,15
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_778.csv,20,0.045440573164634145,0.0,1,30,14,103,16,42,14,29,12
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_525.csv,21,4.552050757589413e-05,0.0,8,108,16,324,12,336,11,42,20
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_525.csv,21,0.00045520507575894125,0.0,1,230,29,154,30,151,27,66,22
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_525.csv,21,0.004552050757589412,0.0,1,201,23,133,22,136,23,35,11
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_525.csv,21,0.045520507575894126,0.0,1,14,6,68,6,34,9,5,4
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_242.csv,22,4.565810474621509e-05,0.0,5,141,18,221,19,130,18,60,24
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_242.csv,22,0.0004565810474621509,0.0,1,160,19,153,20,115,18,34,13
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_242.csv,22,0.004565810474621509,0.0,1,153,20,102,20,88,15,79,14
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_242.csv,22,0.045658104746215095,0.0,2,16,6,8,7,12,7,6,6
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_938.csv,23,4.590171699051255e-05,0.0,5,105,16,397,18,226,16,287,19
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_938.csv,23,0.0004590171699051255,0.0,1,128,22,275,24,155,23,80,22
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_938.csv,23,0.004590171699051255,0.0,1,128,21,232,14,85,17,29,11
x_gen_syn_n3_p10_corr0.5_snr5.0_seed2022_938.csv,23,0.04590171699051255,0.0,1,18,7,6,4,4,4,4,4
